MUJ,Metoda,Mean1,std1,Mean2,std2,Mean3,std3
0.0%,SP,0.0,0.0,0.0,0.0,0.0,0.0
0.0%,SPA,0.6666666666666666,0.9428090415820634,0.6666666666666666,0.9428090415820634,0.0,0.0
0.0%,KP,0.0,0.0,0.0,0.0,0.0,0.0
0.0%,PBV,2.3333333333333335,2.0548046676563256,1.6666666666666667,1.247219128924647,0.6666666666666666,0.4714045207910317
0.0%,FBI,4.333333333333333,3.39934634239519,2.3333333333333335,0.9428090415820634,1.0,0.816496580927726
0.0%,APERT,4.333333333333333,2.494438257849294,2.6666666666666665,1.247219128924647,2.0,1.4142135623730951
0.0%,APERTP,2.6666666666666665,1.699673171197595,3.3333333333333335,2.0548046676563256,1.6666666666666667,1.699673171197595
0.0%,PD,2.3333333333333335,1.247219128924647,2.3333333333333335,1.247219128924647,1.0,0.0
0.0%,PEB,0.6666666666666666,0.4714045207910317,1.3333333333333333,0.9428090415820634,0.0,0.0
2.5%,SP,5.666666666666667,7.318166133366716,6.0,8.48528137423857,2.0,2.8284271247461903
2.5%,SPA,10.0,10.198039027185569,10.333333333333334,12.552113589175152,4.666666666666667,6.599663291074443
2.5%,KP,9.666666666666666,9.741092797468305,9.666666666666666,11.614167593456232,6.333333333333333,8.259674462242579
2.5%,PBV,12.333333333333334,10.338708279513883,11.0,10.98483803552272,9.666666666666666,8.055363982396381
2.5%,FBI,16.0,8.602325267042627,14.333333333333334,9.533566430716728,16.333333333333332,13.02134998974974
2.5%,APERT,16.333333333333332,8.178562764256865,15.666666666666666,9.809292646374773,16.0,11.775681155103795
2.5%,APERTP,16.0,8.602325267042627,16.0,9.41629792788369,15.333333333333334,12.229290885229426
2.5%,PD,15.333333333333334,8.178562764256865,12.0,11.575836902790225,8.333333333333334,5.312459150169743
2.5%,PEB,8.0,7.788880963698615,3.0,2.160246899469287,4.333333333333333,3.6817870057290873
5.0%,SP,6.0,7.788880963698615,9.0,12.727922061357855,4.0,5.656854249492381
5.0%,SPA,10.666666666666666,9.977753031397176,10.333333333333334,12.552113589175152,4.666666666666667,6.599663291074443
5.0%,KP,10.333333333333334,10.656244908763853,10.0,12.083045973594572,6.666666666666667,8.055363982396381
5.0%,PBV,12.333333333333334,10.338708279513883,11.333333333333334,11.440668201153676,9.666666666666666,8.055363982396381
5.0%,FBI,17.666666666666668,7.760297817881877,15.333333333333334,9.843215373488935,16.666666666666668,12.918548250050733
5.0%,APERT,18.0,7.788880963698615,16.0,9.41629792788369,17.333333333333332,12.229290885229428
5.0%,APERTP,18.0,7.788880963698615,16.333333333333332,9.030811456096044,17.0,11.224972160321824
5.0%,PD,17.0,8.286535263104035,12.0,11.575836902790225,11.0,8.286535263104035
5.0%,PEB,9.333333333333334,7.586537784494028,3.0,2.160246899469287,5.333333333333333,4.109609335312651
7.5%,SP,6.0,7.788880963698615,9.333333333333334,12.498888839501783,4.0,5.656854249492381
7.5%,SPA,11.333333333333334,10.077477638553981,10.333333333333334,12.552113589175152,4.666666666666667,6.599663291074443
7.5%,KP,11.333333333333334,10.338708279513883,10.0,12.083045973594572,6.666666666666667,8.055363982396381
7.5%,PBV,12.333333333333334,10.338708279513883,11.333333333333334,11.440668201153676,9.666666666666666,8.055363982396381
7.5%,FBI,18.0,7.788880963698615,15.666666666666666,9.809292646374773,17.333333333333332,12.762793146051099
7.5%,APERT,18.0,7.788880963698615,16.666666666666668,9.392668535736913,18.0,12.027745701779143
7.5%,APERTP,18.333333333333332,7.363574011458175,17.333333333333332,8.576453553512405,18.333333333333332,11.953614051360738
7.5%,PD,17.333333333333332,7.84573486395988,12.0,11.575836902790225,13.333333333333334,11.440668201153676
7.5%,PEB,10.666666666666666,6.599663291074444,3.3333333333333335,2.494438257849294,6.333333333333333,4.4969125210773475
10.0%,SP,6.0,7.788880963698615,9.333333333333334,12.498888839501783,4.0,5.656854249492381
10.0%,SPA,11.333333333333334,10.077477638553981,10.333333333333334,12.552113589175152,4.666666666666667,6.599663291074443
10.0%,KP,11.333333333333334,10.338708279513883,10.0,12.083045973594572,7.0,8.524474568362947
10.0%,PBV,12.333333333333334,10.338708279513883,11.333333333333334,11.440668201153676,10.0,8.524474568362947
10.0%,FBI,19.333333333333332,6.548960901462833,15.666666666666666,9.809292646374773,18.0,12.027745701779143
10.0%,APERT,19.333333333333332,6.548960901462833,16.666666666666668,9.392668535736913,18.666666666666668,11.585431464655178
10.0%,APERTP,20.0,5.715476066494082,17.333333333333332,8.576453553512405,18.333333333333332,11.953614051360738
10.0%,PD,18.0,6.97614984548545,12.666666666666666,10.96458946893235,13.333333333333334,11.440668201153676
10.0%,PEB,11.666666666666666,6.018490028422597,3.3333333333333335,2.494438257849294,6.333333333333333,4.4969125210773475
